2026-03-03 00:00:01 | ERROR    | __main__:search_by_grantee:356 - Request error for UZ7: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:01 | WARNING  | __main__:run:573 -   No records found for UZ7
2026-03-03 00:00:01 | INFO     | __main__:run:557 - Processing grantee code: HD5
2026-03-03 00:00:01 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: HD5
2026-03-03 00:00:02 | ERROR    | __main__:search_by_grantee:356 - Request error for HD5: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:02 | WARNING  | __main__:run:573 -   No records found for HD5
2026-03-03 00:00:02 | INFO     | __main__:run:557 - Processing grantee code: U4F
2026-03-03 00:00:02 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: U4F
2026-03-03 00:00:02 | ERROR    | __main__:search_by_grantee:356 - Request error for U4F: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:02 | WARNING  | __main__:run:573 -   No records found for U4F
2026-03-03 00:00:02 | INFO     | __main__:run:557 - Processing grantee code: U4G
2026-03-03 00:00:02 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: U4G
2026-03-03 00:00:02 | ERROR    | __main__:search_by_grantee:356 - Request error for U4G: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:02 | WARNING  | __main__:run:573 -   No records found for U4G
2026-03-03 00:00:02 | INFO     | __main__:run:557 - Processing grantee code: V2X
2026-03-03 00:00:02 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: V2X
2026-03-03 00:00:03 | ERROR    | __main__:search_by_grantee:356 - Request error for V2X: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:03 | WARNING  | __main__:run:573 -   No records found for V2X
2026-03-03 00:00:03 | INFO     | __main__:run:557 - Processing grantee code: SS4
2026-03-03 00:00:03 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: SS4
2026-03-03 00:00:03 | ERROR    | __main__:search_by_grantee:356 - Request error for SS4: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:03 | WARNING  | __main__:run:573 -   No records found for SS4
2026-03-03 00:00:03 | INFO     | __main__:run:557 - Processing grantee code: HLE
2026-03-03 00:00:03 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: HLE
2026-03-03 00:00:03 | ERROR    | __main__:search_by_grantee:356 - Request error for HLE: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:03 | WARNING  | __main__:run:573 -   No records found for HLE
2026-03-03 00:00:03 | INFO     | __main__:run:557 - Processing grantee code: 2AOJL
2026-03-03 00:00:03 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AOJL
2026-03-03 00:00:03 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AOJL: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:03 | WARNING  | __main__:run:573 -   No records found for 2AOJL
